Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2019 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Austrália, 12 929, 1 706, 1 598, 1 958,  650,  573,  740,  768,  838, 1 180,  945,  718, 1 255
Nova Zelândia, 1 734,  81,  98,  140,  190,  145,  136,  153,  151,  211,  121,  152,  156
Outros países da Oceania,  31,  1,  1,  6,-,  1,  3,-,  1,  11,-,  2,  5
Países não especificados,  7,  2,-,  1,-,-,  1,-,-,  1,  1,-,  1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fonte: Departamento de Polícia Federal e Ministério do Turismo. Disponível em <http://www.turismo.gov.br> acesso em julho de 2020.,,,,,,,,,,,,,
Nota:  -  Dado numérico igual a zero não resultante de arredondamento,,,,,,,,,,,,,
"(1) Os dados tratados no Anuário Estatístico de Turismo da Embratur referem-se às Unidades da Federação, portanto ao Estado do Rio de Janeiro. Como no caso do Estado do Rio de Janeiro quase 99% da entrada de visitantes se dá por via aérea e como o único aeroporto Internacional no Estado é o Antonio Carlos Jobim - Galeão, localizado no município do Rio de Janeiro, pode-se considerar os dados apresentados no referido Anuário como uma ""proxy"", que substitui de forma aproximada a variável desejada para o município. Acresce ainda que além do Aeroporto Internacional Antonio Carlos Jobim, o Aeroporto Santos Dumont também mantém desembarque de passageiros vindos de voos internacionais, com registro em 2016 de movimentação de 83 passageiros em voos internacionais não regulares (fonte: http://www.infraero.gov.br), quantidade desprezível se comparada aos 4.326.918 passageiros de voos internacionais que circularam no Antonio Carlos Jobim (fonte: http://www.riogaleao.com). Além destes dois aeroportos, a ANAC apresenta para o Estado do Rio de Janeiro a soma de mais outros 9 Aeródromos Civis Públicos homologados para operar, sendo apenas os Aeródromos de Cabo Frio e Campos de Goytacazes os classificados como AP-1, aptos a realizar aviação comercial regular ou na modalidade charter para transporte de passageiros (fonte: Portaria n0. 722/SIA, de 03/03/2017 - Anexo), além de outros 15 aeródromos do tipo privado (fonte: http://www.anac.gov.br). Vale também acrescentar que segundo a INFRAERO apenas os Aeroportos Santo Dumont e o Internacional Antonio Carlos Jobim mantém serviço da Polícia Federal presente na área de desembarque, indicando atividade de controle de acesso de pessoas com residência permanente noutros países. O que se pode  apreender é que mesmo que haja no Estado do Rio aerodromos privados ou públicos com estrutura física apta a receber voos vindos de outros países, estes aeroportos colaboram muito pouco com a movimentação de visitantes, resultando impacto desprezível no total do Estado, não invalidando a adoção da ""proxy"". (4) (5)",,,,,,,,,,,,,
"(2) O Anuário de Turismo da Embratur é publicado com 1 ano de defasagem, ou seja, o anuário 2017 tem como ano base 2016.",,,,,,,,,,,,,
"(3) A estrutura de países adotada no Anuário Estatístico de Turismo ano base 2016 difere da realção apresentada no Anuário ano base 2015. Por Continente, foram destacados e substituidos os seguintes países: Em Africa - destaque para Egito, Gana, Marros, Moçambique, Quênia e Tunísia; na América Central e Caribe - destaque para El Salvador, Haiti, Honduras, Nicarágua, Republica Dominicana, Tinidad e Tobago; na América do Sul - substituição da República da Guiana por Guiana; na Ásia destaque para Arábia Saudita, Bangladesh, China - Hong Kong, Cingapura, Filipinas, Indonésia, Irã, Líbano, Malásia, Paquistão, Síria, Tailândia, Taiwan; e na Europa - destaque para Bulgária, Croácia, Eslováquia, Eslovênia, Estônia, Letônia, Lituânia, Luxemburgo, Rômenia, Sérvia, Turquia, Ucrânia e substituição de Inglaterra por Reino Unido.",,,,,,,,,,,,,
"(4) Aerodromos Civis Públicos no Estado do Rio de Janeiro: Angra dos Reis;  Cabo Frio;  Bartolomeu Lisandro (Campos de Goytacazes); Itaperuna; Macaé; Maricá; Parati; Resende; Internacional  Antônio Carlos Jobim - Galeão, Santos Dumont e Jacarepagua - Roberto Marinho (Rio de Janeiro). Aerodromos Civis Privados no Estado do Rio de Janeiro: Fazenda Pedra Branca (Angra dos Reis); Umberto Modiano (Armação de Búzios); Fazenda Ribeirão (Barra do Piraí); Fazenda Tosana e Fly Lagos (Cabo Frio); Brigadeiro Francisco Pinto de Moura e Trimote (Casimiro de Abreu);  Itaboraí; Fazenda Bom Jardim e Fazenda Portobello (Magaratiba); Fazenda Recanto Feliz (Rio Claro); Clube CÉU e Ten. Brig. Ar Waldir de Vasconcelos (Rio de Janeiro); José Bernardo (São Francisco de Itabapoana);  São João da Barra.  (Fonte: http://www.anac.gov.br/assuntos/dados-e-estatisticas/aeroportos).",,,,,,,,,,,,,
"(5) Classificação Aeroportos Civis Públicos  em Portaria n0. 722/SIA, de 03/03/2017 - Anexo em D.O.U 07/03/2017, seção 1, páginas 112 e 113.",,,,,,,,,,,,,
